16:29:53.398 > ESP-ROM:esp32s3-20210327
16:29:53.401 > Build:Mar 27 2021
16:29:53.401 > rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
16:30:07.914 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:07.918 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:07.983 > Eth packet: len= 189 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:07.983 > Eth packet: len= 209 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:08.241 > Eth packet: len= 453 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:08.247 > Eth packet: len= 473 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:09.242 > Eth packet: len= 453 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:09.246 > Eth packet: len= 473 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:09.898 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:09.905 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:10.000 > Eth packet: len=  60 Dst=01:80:c2:00:00:13 Src=a0:b5:49:5c:48:70 Type=0x893a (IEEE 1905.1, ?)
16:30:10.915 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
